id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,1083805.0,406092412278,83,406092412278,1458580445.0,1086912.0,1055841.0,27965.0,2.64856,7575976165.0,1.90104,374748.4424158592,374748.4424158592,,1975890.0,-45.26039,2022-11-01T06:26:41.424Z,338032.0,219.96831,2022-06-18T20:55:45.957Z,,2025-11-23T22:54:26.351Z,+
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),https://coin-images.coingecko.com/coins/images/39708/large/WETH.PNG?1723730343,944841.0,100285086229,212,100295716362,2819403235.0,947281.0,920848.0,23993.0,2.60549,2536693974.0,2.59513,106173.935124331,106185.1894703997,,1669979.0,-43.46796,2025-08-24T18:32:38.459Z,513566.0,83.82718,2025-04-09T01:31:27.335Z,,2025-11-23T22:54:26.974Z,+
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),https://coin-images.coingecko.com/coins/images/39810/large/weth.png?1724139790,945324.0,184847870706,140,184798597650,170142426208.0,949689.0,921357.0,23968.0,2.60135,5941264076.0,3.32087,195514.5904698413,195462.474092806,,1670774.0,-43.49205,2025-08-24T18:50:15.931Z,514837.0,83.38248,2025-04-09T01:31:06.248Z,,2025-11-23T22:54:18.435Z,+
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,284529.0,39188572608098,5,39188572326426,436027325732.0,284890.0,277332.0,7124.71,2.56835,980203045385.0,2.56541,137736618.8299999,137736617.84,200000000.0,464072.0,-38.72406,2025-10-13T08:41:24.131Z,10.34,2750816.92018,2017-10-19T00:00:00.000Z,,2025-11-23T22:54:22.980Z,+
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,https://coin-images.coingecko.com/coins/images/27008/large/cbeth.png?1709186989,1043702.0,121969046429,190,389706517824,1719231591.0,1048669.0,1017680.0,25767.0,2.53127,2579309789.0,2.16041,116844.8548786558,373334.0782232124,,1836404.0,-43.20649,2025-08-24T18:42:28.585Z,413433.0,152.2679,2022-11-22T10:16:15.170Z,,2025-11-23T22:54:26.538Z,+
mantle-restaked-eth,cmeth,Mantle Restaked ETH,https://coin-images.coingecko.com/coins/images/51114/large/symbol.png?1730117724,1020117.0,93327187443,223,93327187443,1612176137.0,1027272.0,995503.0,24592.0,2.47028,2490627159.0,2.74188,91244.20916187059,91244.20916187059,,1789555.0,-43.05995,2025-08-24T19:18:55.595Z,546790.0,86.35543,2025-04-09T01:30:47.033Z,,2025-11-23T22:54:26.978Z,+
astherus-staked-bnb,asbnb,Aster Staked BNB,https://coin-images.coingecko.com/coins/images/54129/large/asBNB.png?1744789305,301223.0,87373596246,228,87373596246,32770959.0,301457.0,293454.0,6667.22,2.26349,2163774011.0,2.5393499999999998,290058.437367049,290058.437367049,,489778.0,-38.51742,2025-10-13T08:47:24.976Z,120842.0,149.191,2025-03-05T16:31:21.049Z,,2025-11-23T22:54:26.976Z,+
stakewise-v3-oseth,oseth,StakeWise Staked ETH,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,974527.0,190688013737,136,190688013737,287584205.0,977904.0,948403.0,20622.0,2.16183,5308509445.0,2.8635900000000003,195661.5491367,195661.5491367,,1758733.0,-44.65756,2025-08-24T18:43:48.305Z,539045.0,80.56468,2025-04-09T01:32:44.161Z,,2025-11-23T22:54:26.230Z,+
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,999913.0,335740991414,99,335740991414,142991547.0,1005103.0,973809.0,20428.0,2.08558,8909124059.0,2.7259,335721.3527888359,335721.3527888359,,1752782.0,-43.00847,2025-08-24T18:43:36.901Z,349451.0,185.85876,2025-09-02T07:53:14.684Z,,2025-11-23T22:54:26.775Z,+
liquid-staked-ethereum,lseth,Liquid Staked ETH,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,1004873.0,316344650260,104,316344650260,23745136.0,1009370.0,984591.0,20282.0,2.05996,6462355910.0,2.08542,314735.4267979895,314735.4267979895,,1799055.0,-44.14645,2025-08-24T18:32:28.037Z,499080.0,101.33752,2023-03-10T11:32:43.816Z,,2025-11-23T22:54:26.139Z,+
renzo-restaked-eth,ezeth,Renzo Restaked ETH,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,1004803.0,258972550648,114,258972550648,463074798.0,1009519.0,979959.0,18664.84,1.8927200000000002,6759185426.0,2.67995,257733.1437448294,257733.1437448294,,1762627.0,-43.06066,2025-08-24T19:25:30.766Z,537088.0,86.86463,2025-04-09T01:30:57.856Z,,2025-11-23T22:54:26.520Z,+
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,1151626.0,3803387969686,14,3802857549876,10842740144.0,1157227.0,1123605.0,20889.0,1.8473700000000002,91682945178.0,2.4701,3302697.260337394,3302236.666764372,,2692995.0,-57.31647,2022-05-13T15:09:54.509Z,205958.0,458.10772,2022-05-13T01:36:45.053Z,,2025-11-23T22:54:25.791Z,+
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,1023966.0,3342661414981,17,3342661414981,3064443601.0,1026408.0,998323.0,18353.55,1.82511,87766671519.0,2.69645,3264381.969939844,3264381.969939844,,1800317.0,-43.21605,2025-08-24T18:47:30.822Z,555862.0,83.91088,2025-04-09T01:32:35.268Z,,2025-11-23T22:54:25.723Z,+
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,945171.0,572211130617,67,572211130617,15940650703.0,949349.0,921297.0,16846.68,1.81474,15253269251.0,2.73868,604999.9999588211,604999.9999588211,,1671150.0,-43.53455,2025-08-24T19:14:00.505Z,514891.0,83.26642,2025-04-09T01:32:41.942Z,,2025-11-23T22:54:26.336Z,+
frax-ether,frxeth,Frax Ether,https://coin-images.coingecko.com/coins/images/28284/large/frxETH_icon.png?1696527284,933287.0,93259300394,222,93259300394,170685950.0,937671.0,910077.0,16174.39,1.76362,2189963991.0,2.40472,99916.46886543617,99916.46886543617,,1657954.0,-43.78795,2025-08-24T18:42:39.945Z,444513.0,109.66072,2022-12-30T18:01:25.227Z,,2025-11-23T22:54:27.144Z,+
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,1019969.0,236028296370,123,236028630707,587043140.0,1027030.0,994111.0,17666.66,1.76261,3993000400.0,1.72086,231402.8469166504,231403.1747015857,,1791457.0,-43.05111,2025-08-24T19:26:54.562Z,548606.0,85.96482,2025-04-09T01:32:38.082Z,,2025-11-23T22:54:26.179Z,+
arbitrum-bridged-wrapped-eeth,weeth,Arbitrum Bridged Wrapped eETH (Arbitrum),https://coin-images.coingecko.com/coins/images/69123/large/weeth.png?1757579190,1020815.0,103511969194,209,103511969194,134228088.0,1026653.0,994902.0,17538.79,1.74815,2503987967.0,2.479,101298.5738645511,101298.5738645511,,1721671.0,-40.75821,2025-10-07T13:40:07.784Z,948270.0,7.55893,2025-11-21T12:31:03.777Z,,2025-11-23T22:54:26.783Z,+
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,1021411.0,2423773807798,27,2423773807798,21698562369.0,1027289.0,995775.0,17263.41,1.71921,62512807249.0,2.64743,2373060.827281801,2373060.827281801,,1786291.0,-42.88798,2025-08-24T18:50:10.311Z,556539.0,83.3091,2025-04-09T01:31:22.155Z,,2025-11-23T22:54:26.154Z,+
wbnb,wbnb,Wrapped BNB,https://coin-images.coingecko.com/coins/images/12591/large/binance-coin-logo.png?1696512401,284602.0,390402692353,87,390612220377,77490371744.0,284910.0,277215.0,4763.58,1.70227,9799000566.0,2.57459,1371677.344205996,1372413.519569118,,464536.0,-38.80003,2025-10-13T08:47:24.374Z,7386.37,3748.92295,2020-09-24T13:48:40.532Z,,2025-11-23T22:54:26.604Z,+
wrapped-ether-mantle-bridge,weth,Mantle Bridged WETH (Mantle),https://coin-images.coingecko.com/coins/images/31013/large/weth_2.jpg?1758795984,944071.0,77838935669,247,77838935669,853360366.0,947901.0,921009.0,14173.61,1.52421,1702705605.0,2.23639,82410.45924858876,82410.45924858876,,1680542.0,-43.66437,2024-03-27T05:23:29.256Z,517888.0,82.80856,2025-04-09T01:32:36.128Z,,2025-11-23T22:54:27.128Z,+
sweth,sweth,Swell Ethereum,https://coin-images.coingecko.com/coins/images/30326/large/_lB7zEtS_400x400.jpg?1696529227,1032654.0,125275838807,185,125279331591,11301839.0,1040139.0,1013055.0,14678.98,1.44198,2653526107.0,2.16398,121323.095741077,121326.478319651,,1812436.0,-42.98104,2025-08-24T18:32:27.258Z,553460.0,86.72201,2023-09-18T18:35:01.988Z,,2025-11-23T22:54:26.998Z,+
ultima,ultima,Ultima,https://coin-images.coingecko.com/coins/images/31844/large/ULTIMA-200x200.png?1763090865,1020606.0,102059319821,211,102059319821,4558521693.0,1029816.0,1010044.0,9794.83,0.96901,974946409.0,0.9644900000000001,100000.0,100000.0,100000.0,8774511.0,-88.36092,2025-02-14T11:01:57.263Z,748736.0,36.39965,2024-06-12T10:32:42.600Z,,2025-11-23T22:54:26.808Z,+
ignition-fbtc,fbtc,Function FBTC,https://coin-images.coingecko.com/coins/images/39182/large/Function_Token_%282%29.png?1760254065,28678638.0,343217081284,100,343217081284,31040783.0,29312065.0,27705742.0,221435.0,0.7781300000000001,11397360248.0,3.4348,11736.93625271,11736.93625271,,44145422.0,-35.35721,2025-01-19T14:37:07.527Z,4133343.0,590.40572,2024-09-10T18:18:02.102Z,,2025-11-23T22:54:26.575Z,+
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,1347469.0,703534600244,60,703534600244,30860302509.0,1351681.0,1340837.0,1463.57,0.10873000000000001,639702053.0,0.09101000000000001,522089.3,522089.3,,1464124.0,-8.06205,2025-10-20T20:01:43.359Z,441898.0,204.61446,2020-03-12T23:32:32.137Z,,2025-11-23T22:54:26.770Z,+
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,1349854.0,450525351621,75,450525351621,28291205568.0,1351837.0,1345157.0,-1982.6933846240863,-0.14667000000000002,-406467635.3688965,-0.09014000000000001,333757.173,333757.173,,1482470.0,-8.8875,2025-10-16T23:50:09.513Z,420456.0,221.25013,2019-10-26T15:58:49.353Z,,2025-11-23T22:54:26.239Z,-
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,181320.0,3618145882113,16,3618155513341,148152848299.0,186817.0,179447.0,-5176.331929414562,-2.77557,-71370354046.08447,-1.9344100000000002,19957371.77165078,19957424.89665078,21000000.0,997363.0,-81.77936,2017-12-20T00:00:00.000Z,22029.0,724.94926,2018-12-16T00:00:00.000Z,,2025-11-23T22:54:26.053Z,-
lorenzo-wrapped-bitcoin,enzobtc,Lorenzo Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/54447/large/enzo_btc.png?1739773963,31749132.0,98960137278,214,98960137278,915.96,,,,,,,3116.93989143,3116.93989143,,39216466.0,-19.04132,2025-10-13T22:56:57.032Z,30741695.0,3.27711,2025-11-14T20:46:40.744Z,,2025-11-16T05:31:07.120Z,0
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,https://coin-images.coingecko.com/coins/images/54162/large/Cgeth_Hashkey.png?1738482570,816256.0,163193272078,152,163193272078,88175.0,,,,,,,199929.02,199929.02,,1600953.0,-49.01437,2025-08-24T18:51:05.176Z,457014.0,78.60623,2025-10-25T14:35:13.161Z,,2025-11-17T22:55:14.574Z,0
