id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
ether-fi-staked-eth,eeth,ether.fi Staked ETH,https://coin-images.coingecko.com/coins/images/33049/large/ether.fi_eETH.png?1700473063,3005.64,369165998,197,8061659827,186033.0,3085.66,3003.19,-7.797882888246477,-0.25877,1284010.0,0.34903,122822.93209901288,2682144.897586038,,5307.23,-43.33837,2024-08-06T16:16:30.007Z,975.47,208.27738,2025-09-02T06:51:33.410Z,,2025-11-29T06:58:16.093Z,-
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,531.34,10604083496,17,10604105079,453947555.0,554.17,531.28,-2.1478759807095003,-0.40261,-46912056.06458473,-0.44045,19959662.39665078,19959703.02165078,21000000.0,3785.82,-85.9177,2017-12-20T00:00:00.000Z,76.93,592.96392,2018-12-16T00:00:00.000Z,,2025-11-29T06:58:14.424Z,-
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,90711.0,1026746266,101,1026746266,4687562.0,92714.0,90427.0,-468.225456342072,-0.51352,-5042771.759320736,-0.48874,11321.97971786,11321.97971786,,125812.0,-27.92737,2025-10-06T19:07:38.572Z,52119.0,73.97843,2024-09-06T21:01:52.094Z,,2025-11-29T06:58:06.945Z,-
solv-btc,solvbtc,Solv Protocol BTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,90529.0,929873212,106,996978535,402070.0,91995.0,90361.0,-475.4653618292941,-0.52247,-60838249.407393575,-6.14086,10271.58913763241,11012.84966094574,21000000.0,125693.0,-27.96689,2025-10-06T17:25:17.426Z,49058.0,84.55912,2024-08-05T06:28:45.311Z,,2025-11-29T06:58:10.171Z,-
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),https://coin-images.coingecko.com/coins/images/26115/large/btcb.png?1696525205,90764.0,374886959,195,374886959,24612233.0,92796.0,90363.0,-547.5355496355187,-0.59963,-3591285.259455502,-0.94887,4133.16581562,4133.16581562,,125862.0,-27.91397,2025-10-06T18:58:38.316Z,7806.11,1062.27799,2023-03-03T05:01:42.603Z,,2025-11-29T06:58:14.095Z,-
tbtc,tbtc,tBTC,https://coin-images.coingecko.com/coins/images/11224/large/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1696511155,90401.0,562868777,142,562868777,16051767.0,92519.0,89765.0,-568.4783837960422,-0.62491,-3306308.548784256,-0.58397,6228.41187392,6228.41187392,,125646.0,-28.55752,2025-10-06T17:18:25.106Z,10104.3,788.38179,2020-09-23T00:00:00.000Z,,2025-11-29T06:58:10.924Z,-
frax-ether,frxeth,Frax Ether,https://coin-images.coingecko.com/coins/images/28284/large/frxETH_icon.png?1696527284,2954.39,292412358,226,292412358,3497283.0,3047.58,2951.93,-20.699855657642274,-0.69577,-2319978.486559689,-0.78715,99022.09174142199,99022.09174142199,,4906.89,-39.76628,2025-08-24T18:42:39.945Z,1137.25,159.89074,2022-11-23T02:25:33.267Z,,2025-11-29T06:58:16.387Z,-
unit-bitcoin,ubtc,Unit Bitcoin,https://coin-images.coingecko.com/coins/images/55066/large/ubtc.jpg?1743580113,90587.0,294753826,224,1891318174654,11407234.0,93128.0,89536.0,-720.3918199307664,-0.78897,-4414423.560809612,-1.47557,3272.75993401,20999999.99993401,21000000.0,126087.0,-28.12895,2025-10-06T19:05:35.447Z,73355.0,23.53575,2025-04-07T06:56:28.361Z,,2025-11-29T06:58:11.527Z,-
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,90549.0,1806351478054,1,1806354284197,59287125846.0,92849.0,90347.0,-771.9082820141921,-0.84527,-15847564423.091064,-0.86969,19955112.0,19955143.0,21000000.0,126080.0,-28.20101,2025-10-06T18:57:42.558Z,67.81,133398.62444,2013-07-06T00:00:00.000Z,,2025-11-29T06:58:16.815Z,-
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,90649.0,6617215840,29,6617215840,367478881.0,92838.0,90304.0,-777.5657360863843,-0.85048,-186002634.25365257,-2.73404,72954.1228871,72954.1228871,,125954.0,-28.08136,2025-10-06T18:58:50.734Z,57439.0,57.7058,2024-09-12T14:07:41.775Z,,2025-11-29T06:58:15.224Z,-
