id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),https://coin-images.coingecko.com/coins/images/39708/large/WETH.PNG?1723730343,2903.93,308188162,212,308188162,10149883.0,2976.71,2866.69,24.47,0.84996,2760302.0,0.90375,106127.841054135,106127.841054135,,4948.98,-41.1878,2025-08-24T19:27:23.389Z,1390.73,109.28603,2025-04-09T01:31:27.335Z,,2025-11-26T09:41:07.105Z,+
sweth,sweth,Swell Ethereum,https://coin-images.coingecko.com/coins/images/30326/large/_lB7zEtS_400x400.jpg?1696529227,3177.85,385547060,187,385557809,316529.0,3277.96,3144.91,26.37,0.83688,3157724.0,0.82579,121323.095741077,121326.478319651,,5370.2,-40.79746,2025-08-24T19:22:28.159Z,1516.13,109.69853,2025-04-09T01:31:40.463Z,,2025-11-26T09:41:06.557Z,+
ultima,ultima,Ultima,https://coin-images.coingecko.com/coins/images/31844/large/ULTIMA-200x200.png?1763090865,2916.54,295867159,219,295867159,17498818.0,2970.29,2856.03,24.19,0.83632,5960065.0,2.05585,100000.0,100000.0,100000.0,22851.0,-87.04541,2025-02-14T11:01:57.263Z,2038.41,45.22152,2024-06-12T10:32:42.600Z,,2025-11-26T09:41:06.791Z,+
pax-gold,paxg,PAX Gold,https://coin-images.coingecko.com/coins/images/9519/large/paxgold.png?1696509604,4155.95,1387092390,75,1387092390,170478916.0,4162.95,4112.78,33.54,0.81365,11537830.0,0.83878,333757.173,333757.173,,4448.72,-6.6084,2025-10-16T23:50:09.513Z,1399.64,196.84245,2019-11-18T03:09:35.959Z,,2025-11-26T09:41:05.373Z,+
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2906.95,350807524668,2,350807524668,22074780279.0,2973.89,2862.84,20.57,0.71264,3708617993.0,1.06846,120695565.8489995,120695565.8489995,,4946.05,-41.2527,2025-08-24T19:21:03.333Z,0.432979,670988.20963,2015-10-20T00:00:00.000Z,"{'times': 43.69763872087642, 'currency': 'btc', 'percentage': 4369.763872087642}",2025-11-26T09:41:14.151Z,+
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,854.87,117746804567,5,117746804567,1172034337.0,868.75,837.84,5.95,0.70125,757267725.0,0.6473,137736509.34,137736509.34,200000000.0,1369.99,-37.61039,2025-10-13T08:41:24.131Z,0.0398177,2146514.48788,2017-10-19T00:00:00.000Z,,2025-11-26T09:41:10.075Z,+
astherus-staked-bnb,asbnb,Aster Staked BNB,https://coin-images.coingecko.com/coins/images/54129/large/asBNB.png?1744789305,904.71,265262128,231,265272970,117601.0,919.96,887.94,5.98,0.66592,3870290.0,1.48065,293282.2060808701,293294.1940366264,,1446.58,-37.29768,2025-10-13T08:47:24.976Z,326.84,177.51777,2025-03-05T16:31:21.049Z,,2025-11-26T09:41:06.868Z,+
wbnb,wbnb,Wrapped BNB,https://coin-images.coingecko.com/coins/images/12591/large/binance-coin-logo.png?1696512401,854.79,1176955751,91,1176955751,351346013.0,868.6,837.26,5.59,0.65797,11250780.0,0.96515,1378381.149672976,1378381.149672976,,1372.03,-37.59599,2025-10-13T08:47:24.374Z,23.6,3527.50515,2020-09-24T13:48:40.532Z,,2025-11-26T09:41:06.223Z,+
gteth,gteth,GTETH,https://coin-images.coingecko.com/coins/images/69320/large/gteth-logo.jpeg?1758190986,2902.51,448080862,163,448080862,232627.0,2978.78,2863.44,18.63,0.64597,5656062.0,1.27842,153820.0,153820.0,,4751.71,-38.48915,2025-10-07T13:30:07.330Z,2627.71,11.23038,2025-11-21T12:31:56.390Z,,2025-11-26T09:41:06.330Z,+
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,87336.0,990142124,101,990142124,4842172.0,88132.0,86093.0,483.45,0.55664,9410075.0,0.95949,11337.42619441,11337.42619441,,125812.0,-30.54255,2025-10-06T19:07:38.572Z,52119.0,67.66557,2024-09-06T21:01:52.094Z,,2025-11-26T09:41:17.831Z,+
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,4136.01,2159261839,58,2159261839,324772190.0,4153.85,4103.47,22.07,0.53652,11255051.0,0.52398,522089.3,522089.3,,4392.88,-5.9197,2025-10-17T05:01:31.881Z,1447.84,185.44813,2020-03-19T13:45:41.821Z,,2025-11-26T09:41:17.447Z,+
clbtc,clbtc,clBTC,https://coin-images.coingecko.com/coins/images/54164/large/clBTC.png?1738482999,86626.0,669033622,126,669033622,5.14,88656.0,86336.0,289.83,0.3357,3163971.0,0.47516,7723.217000000001,7723.217000000001,,129190.0,-32.94636,2025-07-24T19:16:34.717Z,51493.0,68.22975,2025-04-21T12:36:24.067Z,,2025-11-26T09:41:17.575Z,+
unit-bitcoin,ubtc,Unit Bitcoin,https://coin-images.coingecko.com/coins/images/55066/large/ubtc.jpg?1743580113,87071.0,285083024,226,1829264478949,84050821.0,88001.0,86152.0,253.78,0.29231,934885.0,0.32901,3272.75993401,20999999.99993401,21000000.0,126087.0,-30.8244,2025-10-06T19:05:35.447Z,73355.0,18.90267,2025-04-07T06:56:28.361Z,,2025-11-26T09:41:06.871Z,+
solv-btc,solvbtc,Solv Protocol BTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,87059.0,915000659,107,915000854,346446.0,87643.0,86098.0,223.89,0.25783,2971176.0,0.32578,10527.26615290983,10527.26839832983,21000000.0,125693.0,-30.67021,2025-10-06T17:25:17.426Z,49058.0,77.63283,2024-08-05T06:28:45.311Z,,2025-11-26T09:41:17.708Z,+
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,87078.0,6459750873,30,6459750873,409114254.0,88052.0,86193.0,221.54,0.25507,55519456.0,0.86692,74184.58461424,74184.58461424,,125954.0,-30.80778,2025-10-06T18:58:50.734Z,57439.0,51.72722,2024-09-12T14:07:41.775Z,,2025-11-26T09:41:17.431Z,+
tbtc,tbtc,tBTC,https://coin-images.coingecko.com/coins/images/11224/large/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1696511155,86842.0,543628393,145,543628393,9734848.0,87813.0,85776.0,170.62,0.19685,1748459.0,0.32267,6259.93398065,6259.93398065,,125646.0,-30.68236,2025-10-06T17:18:25.106Z,10104.3,761.95958,2020-09-23T00:00:00.000Z,,2025-11-26T09:41:06.252Z,+
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,86977.0,1735921817483,1,1735921817483,63335362261.0,88098.0,86216.0,155.09,0.17863,3283446594.0,0.18951,19953446.0,19953446.0,21000000.0,126080.0,-31.02467,2025-10-06T18:57:42.558Z,67.81,128148.4834,2013-07-06T00:00:00.000Z,,2025-11-26T09:41:15.568Z,+
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,86867.0,10853202876,15,10853202876,188662237.0,87926.0,86102.0,89.06,0.10263,23730358.0,0.21913,124963.48883569,124963.48883569,124963.48883569,125932.0,-30.86123,2025-10-06T18:55:19.650Z,3139.17,2673.59021,2019-04-02T00:00:00.000Z,,2025-11-26T09:41:17.390Z,+
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),https://coin-images.coingecko.com/coins/images/39532/large/wbtc.png?1722810336,86849.0,704780160,121,704780182,136003577.0,87976.0,86182.0,79.23,0.09131,3691108.0,0.52648,8115.04377016,8115.04403311,,126226.0,-31.06493,2025-10-06T19:06:49.202Z,49594.0,75.4526,2024-08-05T13:30:13.831Z,,2025-11-26T09:41:05.966Z,+
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),https://coin-images.coingecko.com/coins/images/26115/large/btcb.png?1696525205,86966.0,360735958,192,360735958,33352079.0,88018.0,86293.0,61.43,0.07068,542067.0,0.15049,4148.05883835,4148.05883835,,125862.0,-30.69348,2025-10-06T18:58:38.316Z,7806.11,1017.46246,2023-03-03T05:01:42.603Z,,2025-11-26T09:41:06.661Z,+
ignition-fbtc,fbtc,Function FBTC,https://coin-images.coingecko.com/coins/images/39182/large/Function_Token_%282%29.png?1760254065,86375.0,1013432702,99,1013432702,260158.0,88558.0,86051.0,-105.22158647364995,-0.12167,-3808912.3936719894,-0.37444,11707.41299618,11707.41299618,,127954.0,-32.31509,2025-10-06T12:50:40.428Z,11469.83,655.07345,2024-09-10T18:18:02.102Z,,2025-11-26T09:41:17.505Z,-
sbtc-2,sbtc,sBTC,https://coin-images.coingecko.com/coins/images/54285/large/sbtc-logo-orange-bg-white-circle-1000px_2.png?1739000556,87138.0,381897651,189,381897651,40097.0,104687.0,86326.0,-182.7404224552156,-0.20927,-1774649.1183776855,-0.46254,4382.65010182,4382.65010182,,209313.0,-58.25511,2025-10-18T13:10:54.662Z,50597.0,72.69333,2025-06-06T20:20:33.912Z,,2025-11-26T09:41:06.595Z,-
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,498.78,8177857471,23,8178081751,1095197567.0,523.7,486.39,-3.869900617806593,-0.7699,-61751262.77847767,-0.74944,16408162.6655448,16408700.1655448,21000000.0,3191.93,-84.3873,2016-10-29T00:00:00.000Z,16.08,2999.14338,2024-07-05T04:22:29.321Z,,2025-11-26T09:41:17.198Z,-
lorenzo-wrapped-bitcoin,enzobtc,Lorenzo Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/54447/large/enzo_btc.png?1739773963,95980.0,299163026,215,400397025,2.77,,,,,,,4171.68350443,4171.68350443,,115819.0,-17.12982,2025-10-13T22:56:57.032Z,92926.0,3.28601,2025-11-14T20:46:40.744Z,,2025-11-16T05:31:07.120Z,0
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,https://coin-images.coingecko.com/coins/images/54162/large/Cgeth_Hashkey.png?1738482570,2460.42,491909683,152,491909683,265.78,,,,,,,199929.02,199929.02,,4746.13,-48.15937,2025-08-24T19:06:16.774Z,1362.23,80.61728,2025-10-25T14:44:57.711Z,,2025-11-17T22:55:14.574Z,0
